Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" Christian K&auml;stner,  Paolo G. Giarrusso,  Tillmann Rendel,  Sebastian Erdweg,  Klaus Ostermann,  Thorsten Berger",OOPSLA,2011,"Variability-Aware Parsing in the Presence of Lexical Macros and Conditional Compilation","syntax checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","KGR+:OOPSLA11, CSUR14, PhD15, SAT"
" Patrizia Asirelli,  Maurice H. ter Beek,  Alessandro Fantechi,  Stefania Gnesi,  Franco Mazzanti",PLEASE,2011,"Design and Validation of Variability in Product Lines","model checking","family-based analysis","annotation-based implementation","family-based specification","design","ABF+:PLEASE11subsumedbyABFG:ISoLA12, CSUR14, PhD15"
" Leopoldo Teixeira,  Paulo Borba,  Rohit Gheyi",SBES,2011,"Safe Composition of Configuration Knowledge-Based Software Product Lines","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","TBG:SBES11, compared to none, CSUR14, PhD15"
" Ali Gondal,  Michael Poppleton,  Michael Butler",SC,2011,"Composing Event-B Specifications: Case-Study Experience","model checking, theorem proving","feature-product-based analysis","components","feature-product-based specification","design","GPB:SC11"
" Sebastian Oster,  Marius Zink,  Malte Lochau,  Mark Grechanik",SPLC,2011,"Pairwise Feature-Interaction Testing for SPLs: Potentials and Limitations","testing","sample-based analysis","annotation-based implementation","","design","OZLG:SPLC11, family-based specification (feature sets)?"
" Sven Apel,  Hendrik Speidel,  Philipp Wendler,  Alexander von Rhein,  Dirk Beyer",(techreport),2011,"Feature-Aware Verification","model checking","family-based analysis","composition-based implementation","feature-based specification","source code / program","ASW+:TR11subsumedbyASW+:ASE11, CSUR14, PhD15"
" Sven Apel,  Delesley Hutchins",TOPLAS,2010,"A Calculus for Uniform Feature Composition","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","AH:TOPLAS10, CSUR14, PhD15"
" Sven Apel,  Christian K&auml;stner,  Armin Gr&ouml;&szlig;linger,  Christian Lengauer",AUSE,2010,"Type Safety for Feature-Oriented Product Lines","type checking","family-based analysis","composition-based implementation","domain-independent specification","source code / program","AKGL10, compared to none, CSUR14, PhD15"
" Ina Schaefer,  Dilian Gurov,  Siavash Soleimanifard",FMCO,2010,"Compositional Algorithmic Verification of Software Product Lines","model checking","family-based analysis","annotation-based implementation","family-wide specification","source code / program","SGS:FMCO10, CSUR14, PhD15"
" Chang Hwan Peter Kim,  Eric Bodden,  Don Batory,  Sarfraz Khurshid",RV,2010,"Reducing Configurations to Monitor in a Software Product Line","static analysis, testing","family-product-based analysis","composition-based implementation","family-wide specification","source code / program","KBBK:RV10, CSUR14, PhD15"
"Sven Apel, Wolfgang Scholz, Christian Lengauer, Christian K&auml;stner",FOSD,2010,"Language-Independent Reference Checking in Software Product Lines","type checking","family-based analysis","composition-based implementation","domain-independent specification","source code / program","ASLK:FOSD10, compared to none, CSUR14, PhD15"
" Radu Muschevici,  Dave Clarke,  Jose Proenca",FMSPLE,2010,"Feature Petri Nets","analysis method undefined","analysis strategy undefined","annotation-based implementation","specification undefined","design","MCP+:FMSPLE10"
"Hamideh Sabouri, Ramtin Khosravi",FMSPLE,2010,"An Effective Approach for Verifying Product Lines in Presence of Variability Models","feature-model analysis","","","","","SK:FMSPLE10"
" Gilles Perrouin,  Sagar Sen,  Jacques Klein,  Benoit Baudry,  Yves Le Traon",ICST,2010,"Automated and Scalable T-Wise Test Case Generation Strategies for Software Product Lines","testing","sample-based analysis","composition-based implementation","family-based specification","source code / program","PSK+:ICST10"
"Lorenzo Bettini, Ferruccio Damiani, Ina Schaefer",SAC,2010,"Implementing Software Product Lines Using Traits","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","BDS:SAC10, CSUR14, PhD15"
" Patrizia Asirelli,  Maurice H. ter Beek,  Stefania Gnesi,  Alessandro Fantechi",VAMOS,2010,"A Deontic Logical Framework for Modelling Product Families","model checking","family-based analysis","annotation-based implementation","family-based specification","design","ABGF:VaMoS10subsumedbyABFG:ISoLA12, CSUR14, PhD15"
" Jennifer Sorge,  Michael Poppleton,  Michael Butler",ABZ,2010,"A Basis for Feature-Oriented Modelling in Event-B","model checking, theorem proving","feature-product-based analysis","components","feature-product-based specification","design","SPB:ABZ10"
" Chang Hwan Peter Kim,  Don Batory,  Sarfraz Khurshid",ASE,2010,"Eliminating Products to Test in a Software Product Line","static analysis, testing","family-product-based analysis","composition-based implementation, annotation-based implementation","family-wide specification","source code / program","KBK:ASE10subsumedbyKBK:AOSD11, CSUR14, PhD15"
" Michael Vierhauser,  Paul Gr&uuml;nbacher,  Alexander Egyed,  Rick Rabiser,  Wolfgang Heider",ASE,2010,"Flexible and Scalable Consistency Checking on Product Line Variability Models","type checking","optimized product-based analysis","composition-based implementation","domain-independent specification","design, source code / program","VGE+:ASE10"
" Andy Kenner,  Christian K&auml;stner,  Steffen Haase,  Thomas Leich",FOSD,2010,"TypeChef: Toward Type Checking #Ifdef Variability in C","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","KKHL:FOSD10, compared to single product, CSUR14, PhD15"
" Richard Bubel,  Crystal Din,  Reiner H&auml;hnle",FOVEOOS,2010,"Verification of Variable Software: An Experience Report","feature-model analysis","","","","","BDH:FoVeOOS10"
"Andreas Classen, Patrick Heymans, Pierre-Yves Schobbens, Axel Legay, Jean-Francois Raskin",ICSE,2010,"Model Checking Lots of Systems: Efficient Verification of Temporal Properties in Software Product Lines","model checking","family-based analysis","annotation-based implementation","feature-based specification","design","CHSLR10, CSUR14, PhD15"
" Patrizia Asirelli,  Maurice H. ter Beek,  Alessandro Fantechi,  Stefania Gnesi",IFM,2010,"A Logical Framework to Deal With Variability","model checking","family-based analysis","annotation-based implementation","family-based specification","design","ABFG:iFM10subsumedbyABFG:ISoLA12, CSUR14, PhD15"
" Kim Lauenroth,  Andreas Metzger,  Klaus Pohl",IPISE,2010,"Quality Assurance in the Presence of Variability","model checking","family-based analysis","annotation-based implementation","feature-based specification","design","LMP10, CSUR14, PhD15"
" Sven Apel,  Wolfgang Scholz,  Christian Lengauer,  Christian K&auml;stner",ISSRE,2010,"Detecting Dependences and Interactions in Feature-Oriented Design","model checking","unoptimized product-based analysis","composition-based implementation","feature-based specification","design","ASLK:ISSRE10, CSUR14, PhD15"
