Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" A. Memon,  A. Porter,  C. Yilmaz,  A. Nagarajan,  D. Schmidt,  B. Natarajan",ICSE,2004,"Skoll: Distributed Continuous Quality Assurance","testing","","","","source code / program","MPY+:ICSE04, product-based analysis?, domain-independent specification?"
" Robyn Lutz,  Gerald C. Gannod",JSS,2003,"Analysis of a Software Product Line Architecture: An Experience Report","model checking","feature-product-based analysis","components","family-wide specification","design","LG03"
"Antonia Bertolino, Stefania Gnesi",PFE,2003,"PLUTO: A Test Methodology for Product Families","testing","unoptimized product-based analysis","","","","BG:PFE03, feature-based specification? family-based specification?"
"Mike Mannion, Javier Camara",PFE,2003,"Theorem Proving for Product Line Model Verification","feature-model analysis","","","","","MC:PFE03"
"Jianjun Zhao, Martin C. Rinard",FASE,2003,"Pipa: A Behavioral Interface Specification Language for AspectJ","analysis method undefined","unoptimized product-based analysis","aspects","feature-based specification","source code / program","ZR03"
" Toshihiro Kamiya,  Shinji Kusumoto,  Katsuro Inoue",TSE,2002,"CCFinder: A Multilinguistic Token-based Code Clone Detection System for Large Scale Source Code","variant-preserving migration","product-based analysis","product-based implementation","","source code / program","KKI:TSE02, specification undefined (none)"
" Harry Li,  Shriram Krishnamurthi,  Kathi Fisler",FSE,2002,"Verifying Cross-Cutting Features as Open Systems","model checking","feature-product-based analysis","composition-based implementation","feature-based specification","design","LKF02, CSUR14, PhD15"
"Lerina Aversano, Massimiliano Di Penta, Ira D. Baxter",SCAM,2002,"Handling Preprocessor-Conditioned Declarations","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","APB:SCAM02, compared to none, CSUR14, PhD15"
" Naoyasu Ubayashi,  Tetsuo Tamai",AOSD,2002,"Aspect-Oriented Programming With Model Checking","model checking","unoptimized product-based analysis","composition-based implementation","family-wide specification","source code / program","UT:AOSD02, CSUR14, PhD15"
"Harry Li, Shriram Krishnamurthi, Kathi Fisler",ASE,2002,"Interfaces for Modular Feature Verification","model checking","feature-product-based analysis","composition-based implementation","feature-based specification","design","LKF:ASE02, CSUR14, PhD15"
" Malte Plath,  Mark Ryan",SCP,2001,"Feature Integration Using a Feature Construct","model checking","sample-based analysis","composition-based implementation","feature-based specification","design","PR01, CSUR14, PhD15"
" Kathi Fisler,  Shriram Krishnamurthi",ESECFSE,2001,"Modular Verification of Collaboration-Based Software Designs","model checking","feature-product-based analysis","feature modules","family-wide specification","design","FK01, CSUR14, PhD15"
" Herbert Klaeren,  Elke Pulvermueller,  Awais Rashid,  Andreas Speck",GCSE,2001,"Aspect Composition Applying the Design by Contract Principle","static analysis","unoptimized product-based analysis","aspects","feature-based specification","source code / program","KPRS:GCSE00, CSUR14, PhD15"
" Torsten Nelson,  Donald D. Cowan,  Paulo S. C. Alencar",REFLECTION,2001,"Supporting Formal Verification of Crosscutting Concerns","model checking","feature-product-based analysis","composition-based implementation","family-wide specification","design","NCA:REFLECTION01, CSUR14, PhD15"
