Authors,Venue,Year,Title,Category,Detailed,Further Tags,Key
" Mikko Raatikainen,  Juha Tiihonen,  Tomi M&auml;nnist&ouml;",JSS,2019,"Software Product Lines and Variability Modeling: A Tertiary Study","problem space, solution space","tertiary study","",RTM:JSS19
" Jose-Miguel Horcas,  Monica Pinto,  Lidia Fuentes",SPLC,2019,"Software Product Line Engineering: A Practical Experience","problem space, solution space","tool support","",HPF:SPLC19
"Daniel Str&uuml;ber, Mukelabai Mukelabai, Jacob Kr&uuml;ger, Stefan Fischer, Lukas Linsbauer, Jabier Martinez, Thorsten Berger",SPLC,2019,"Facing the Truth: Benchmarking the Techniques for the Evolution of Variant-Rich Systems","solution space","reengineering","",SMK+:SPLC19
" Daniel Cruz,  Eduardo Figueiredo,  Jabier Martinez",VAMOS,2019,"A Literature Review and Comparison of Three Feature Location Techniques Using ArgoUML-SPL","solution space","reengineering","feature location, traceability",CFM:VaMoS19
" Fischer Ferreira,  Joao P Diniz,  Cleiton Silva,  Eduardo Figueiredo",VAMOS,2019,"Testing Tools for Configurable Software Systems: A Review-Based Empirical Study","solution space","quality assurance","dynamic analysis",FDSF:VaMoS19
" Roberto Erick Lopez-Herrejon,  Sheny Illescas,  Alexander Egyed",JSEP,2018,"A Systematic Mapping Study of Information Visualization for Software Product Line Engineering","problem space, solution space","","",LIE:JSEP18
" Lina Ochoa,  Oscar Gonzalez-Rojas,  Alves Pereira Juliana,  Harold Castro,  Gunter Saake",JSS,2018,"A Systematic Literature Review on the Semi-automatic Configuration of Extended Product Lines","problem space","configuration","",OGJ+:JSS18
" Mahsa Varshosaz,  Mustafa Al-Hajjaji,  Thomas Th&uuml;m,  Tobias Runge,  Mohammad Reza Mousavi,  Ina Schaefer",SPLC,2018,"A Classification of Product Sampling for Software Product Lines","solution space","quality assurance","dynamic analysis, sampling",VAT+:SPLC18
" Zipani Tom Sinkala,  Martin Blom,  Sebastian Herold",ECSA,2018,"A Mapping Study of Software Architecture Recovery for Software Product Lines","solution space","reengineering","",SBH:ECSA18
" Kinza Zahra,  Farooque Azam,  Fauqia Ilyas,  Abdul Wahab Muzaffar",ICECIT,2018,"Model-Driven Approaches for Software Product Lines: A Systematic Literature Review","solution space","implementation","",ZAIM:ICECIT18
" Jil Kl&uuml;nder,  Philipp Hohl,  Kurt Schneider",ICSSP,2018,"Becoming Agile While Preserving Software Product Lines: An Agile Transformation Model for Large Companies","problem space, solution space","processes","",KHS:ICSSP18
" Rabih Bashroush,  Muhammad Garba,  Rick Rabiser,  Iris Groher,  Goetz Botterweck",CSUR,2017,"Case Tool Support for Variability Management in Software Product Lines","problem space, solution space","tool support","",BGR+:CSUR17
" Wesley Klewerton Guez Assuncao,  Roberto Erick Lopez-Herrejon,  Lukas Linsbauer,  Silvia Regina Vergilio,  Alexander Egyed",EMSE,2017,"Reengineering Legacy Applications Into Software Product Lines: A Systematic Mapping","solution space","reengineering","migration",ALL+:EMSE17
"Bestoun S. Ahmed, Kamal Z. Zamli, Wasif Afzal, Miroslav Bures",IEEE ACCESS,2017,"Constrained Interaction Testing: A Systematic Literature Study","solution space","quality assurance","dynamic analysis, sampling",AZAB17
" Muhammad Sahak,  SA Halim,  Dayang Norhayati Abang Jawawi,  Mohd Adham Isa",IJASEIT,2017,"Evaluation of Software Product Line Test Case Prioritization Technique","solution space","quality assurance","dynamic analysis",SHJI:IJASEIT17
"Tassio Vale, Eduardo Santana de Almeida, Vander Alves, Uira Kulesza, Nan Niu, Ricardo de Lima",IST,2017,"Software Product Lines Traceability: A Systematic Mapping Study","solution space","reengineering","feature location, traceability",VSA+:IST17
" Philipp Hohl,  Javad Ghofrani,  J&uuml;rgen M&uuml;nch,  Michael Stupperich,  Kurt Schneider",ICSSP,2017,"Searching for Common Ground: Existing Literature on Automotive Agile Software Product Lines","problem space, solution space","processes","",HGM+:ICSSP17
" Yang Li,  Sandro Schulze,  Gunter Saake",SPLC,2017,"Reverse Engineering Variability From Natural Language Documents: A Systematic Literature Review","solution space","reengineering","",LSS:SPLC17
" C. Marimuthu,  K. Chandrasekaran",SPLC,2017,"Systematic Studies in Software Product Lines: A Tertiary Study","problem space, solution space","tertiary study","",MC:SPLC17
" Xhevahire Ternava,  Philippe Collet",SPLC,2017,"On the Diversity of Capturing Variability at the Implementation Level","solution space","implementation","",TC:SPLC17
" Harsh Beohar,  Mahsa Varshosaz,  Mohammad Reza Mousavi",SCP,2016,"Basic Behavioral Models for Software Product Lines: Expressiveness and Testing Pre-Orders","solution space","architecture, design","",BVM:SCP16
" David Mendez-Acuna,  Jose A Galindo,  Thomas Degueule,  Benoit Combemale,  Benoit Baudry",CLSS,2016,"Leveraging Software Product Lines Engineering in the Development of External Dsls: A Systematic Literature Review","solution space","implementation","",MGD+:CLSS16
" Leuson M. P. da Silva,  Carla I. M. Bezerra,  Rossana M. C. Andrade,  Jose Maria S. Monteiro",ICEIS,2016,"Requirements Engineering and Variability Management in DSPLs Domain Engineering: A Systematic Literature Review","problem space, solution space","pl technique application","dynamic spl",DBAM:ICEIS16
" Uzma Afzal,  Tariq Mahmood,  Zubair Shaikh",IJCSTI,2016,"Intelligent Software Product Line Configurations: A Literature Review","problem space","configuration","",AMS:IJCSTI16
" Ruben Heradio,  Hector Perez-Morago,  David Fernandez-Amoros,  Francisco Javier Cabrerizo,  Enrique Herrera-Viedma",IST,2016,"A Bibliometric Analysis of 20 Years of Research on Software Product Lines","problem space, solution space","","",HPF+:IST16
" Samuel Sepulveda,  Ania Cravero,  Cristina Cachero",IST,2016,"Requirements Modeling Languages for Software Product Lines: A Systematic Literature Review","solution space","","requirements",SCC:IST16
" Mohd Zanes Sahid,  Abu Bakar Md Sultan,  Abdul Azim Abdul Ghani,  Salmi Baharom",JCS,2016,"Combinatorial Interaction Testing of Software Product Lines: A Mapping Study","solution space","quality assurance","dynamic analysis, sampling",SSGB:JCS16
" Leticia Montalvillo,  Oscar Diaz",JSS,2016,"Requirement-Driven Evolution in Software Product Lines: A Systematic Mapping Study","problem space, solution space","evolution","",MD:JSS16
" Flavio Medeiros,  Christian K&auml;stner,  Marcio Ribeiro,  Rohit Gheyi,  Sven Apel",ICSE,2016,"A Comparison of 10 Sampling Algorithms for Configurable Systems","solution space","quality assurance","dynamic analysis, sampling",MKR+:ICSE16
" Crescencio Lima,  Christina Chavez",SBES,2016,"A Systematic Review on Metamodels to Support Product Line Architecture Design","solution space","architecture, design","",LC:SBES16
" Stephan Baumgart,  Joakim Fr&ouml;berg",SEAA,2016,"Functional Safety in Product Lines &#8211; A Systematic Mapping Study","solution space","quality assurance","",BF:SEAA16
" Jane Dirce Alves Sandim Eleuterio,  Felipe Nunes Gaia,  Andrea Bondavalli,  Paolo Lollini,  Genaina Nunes Rodrigues,  Cecilia Mary Fischer Rubira",SEAA,2016,"On the Dependability for Dynamic Software Product Lines: A Comparative Systematic Mapping Study","problem space, solution space","pl technique application","dynamic spl",EGB+:SEAA16
" Roberto E Lopez-Herrejon,  Sheny Illescas,  Alexander Egyed",VISSOFT,2016,"Visualization for Software Product Lines: A Systematic Mapping Study","problem space, solution space","","",LIE:VISSOFT16
" Sedigheh Khoshnevis,  Fereidoon Shams,  Neda Avazpour Kakroudi",IJSBAR,2015,"A Systematic Literature Review of Variability Management in Service-Oriented Products and Product Lines","problem space, solution space","pl technique application","service-oriented pl",KSK:IJSBAR15
" Roberto E Lopez-Herrejon,  Lukas Linsbauer,  Alexander Egyed",IST,2015,"A Systematic Mapping Study of Search-Based Software Engineering for Software Product Lines","problem space, solution space","pl technique application","",LLE:IST15
" Eray T&uuml;z&uuml;n,  Bedir Tekinerdogan",IST,2015,"Analyzing Impact of Experience Curve on ROI in the Software Product Line Adoption Process","problem space, solution space","management","",TT:IST15
" Eray T&uuml;z&uuml;n,  Bedir Tekinerdogan,  Mert Emin Kalender,  Semih Bilgen",IST,2015,"Empirical Evaluation of a Decision Support Model for Adopting Software Product Line Engineering","solution space","reengineering","migration",TTKB:IST15
